Model,Accuracy,Precision,Recall,F1,Specificity,ROC-AUC,False negatives,False positives
Baseline CNN,0.9210526315789473,0.9714285714285714,0.8095238095238095,0.8831168831168831,0.9861111111111112,0.966931216931217,8,1
Improved CNN,0.9649122807017544,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9722222222222222,0.9963624338624338,2,2
